Altium Designer Pick and Place Locations
Z:\tlan\src\nb-iot\sara-n210_breakout\Release\2018-04-09\Pick Place\PANEL_PNP.csv

========================================================================================================================
File Design Information:

Date:       09.04.18
Time:       01.38
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U2","TPS63031DSKR","TopLayer","SON50P250X80_HS-11N","37.2500","27.2500","0","IC REG BUCK BST 3.3V 0.9A 10SON"
"L1","1.5µF","TopLayer","INDP3030X11L","33.5000","27.2500","90","FIXED IND 1.5UH 2.04A 88.8 MOHM"
"C5","10µF","TopLayer","CAPC1005X04L","36.6750","24.8250","180","CAP CER 10UF 6.3V X5R 0402"
"C3","100nF","TopLayer","CAPC1005X04L","40.3750","26.7000","180","CAP CER 100nF 16V X7R 0402"
"C2","10µF","TopLayer","CAPC1005X04L","36.6250","30.7500","180","CAP CER 10UF 6.3V X5R 0402"
"C1","10µF","TopLayer","CAPC1005X04L","36.6250","29.7500","180","CAP CER 10UF 6.3V X5R 0402"
"C6","33pF","TopLayer","CAPC1005X04L","36.1500","75.5500","90","CAP CER 33PF 50V NP0 0402"
"C7","27pF","TopLayer","CAPC1005X04L","33.1500","76.6250","270","CAP CER 27PF 50V C0G/NP0 0402"
"C8","47pF","TopLayer","CAPC1005X04L","29.6000","36.4500","90","CAP CER 47PF 50V C0G/NP0 0402"
"C9","47pF","TopLayer","CAPC1005X04L","38.9250","35.7250","90","CAP CER 47PF 50V C0G/NP0 0402"
"C10","47pF","TopLayer","CAPC1005X04L","37.9750","37.7000","90","CAP CER 47PF 50V C0G/NP0 0402"
"C11","47pF","TopLayer","CAPC1005X04L","37.9750","39.9750","270","CAP CER 47PF 50V C0G/NP0 0402"
"C12","100nF","TopLayer","CAPC1005X04L","38.8750","39.9750","270","CAP CER 100nF 16V X7R 0402"
"D1","PESD0402-140","TopLayer","RESC1005X04L","34.1750","76.6250","270","TVS DIODE 14VWM 40VC 0402"
"D2","B72590T8140S160","TopLayer","RESC1005X04L","25.7750","34.5250","360","VARISTOR 28V 2A 0402"
"J1","U.FL-R-SMT-1(10)","TopLayer","COAXIAL-UFL","36.1500","79.1875","0","CONN UMC JACK STR 50 OHM SMD"
"L2","39nH","TopLayer","INDC1005X04L","36.6250","74.1000","180","FIXED IND 39NH 250MA 1.06 OHM"
"L3","82nH","TopLayer","INDC1005X04L","35.6750","77.1250","360","FIXED IND 82NH 150MA 1.2 OHM SMD"
"R3","0.0","TopLayer","RESC1005X04L","36.1560","72.6490","90","RES SMD 0.0OHM JUMPER 1/16W 0402"
"R4","10k","TopLayer","RESC1005X04L","29.5500","72.7000","90","RES SMD 10K OHM 1% 1/10W 0402"
"SW1","RS-014R05B1-SMA10 RT","TopLayer","RS-014R05B1-SMA10","27.5250","27.1000","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"U1","SARA-N210-02B","TopLayer","UB-SARA-N2","32.8540","58.5520","0","uBlox Sara N210"
"U3","SkySIM Argo 512 M2M SMD","TopLayer","QFN127P500X600X90_HS-9N","33.8250","37.5750","270","SkySIM® Argo 512 M2M SMD - LTE"
"P1","2.54mm","TopLayer","HDR_1x15_2.54mm_THRU","21.5000","44.0500","90","Header, 1x15, Pitch 2.54mm, Male"
"*","TELENOR_LOGO","TopLayer","TELENOR_4mmx3.8mm","-14.3250","-25.1750","360",""
"Fid1","Fiducial mark","TopLayer","Fiducial","21.8250","21.7250","90","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","43.0250","21.7750","90","Fiducial Mark"
"Fid3","Fiducial mark","TopLayer","Fiducial","43.0250","80.2750","90","Fiducial Mark"
"LOGO1","EE LOGO","BottomLayer","EE_LOGO","-14.3250","-25.1750","180","Exploratory Engineering Logo Silkscreen"
"U2","TPS63031DSKR","TopLayer","SON50P250X80_HS-11N","62.3500","27.2500","0","IC REG BUCK BST 3.3V 0.9A 10SON"
"L1","1.5µF","TopLayer","INDP3030X11L","58.6000","27.2500","90","FIXED IND 1.5UH 2.04A 88.8 MOHM"
"C5","10µF","TopLayer","CAPC1005X04L","61.7750","24.8250","180","CAP CER 10UF 6.3V X5R 0402"
"C3","100nF","TopLayer","CAPC1005X04L","65.4750","26.7000","180","CAP CER 100nF 16V X7R 0402"
"C2","10µF","TopLayer","CAPC1005X04L","61.7250","30.7500","180","CAP CER 10UF 6.3V X5R 0402"
"C1","10µF","TopLayer","CAPC1005X04L","61.7250","29.7500","180","CAP CER 10UF 6.3V X5R 0402"
"C6","33pF","TopLayer","CAPC1005X04L","61.2500","75.5500","90","CAP CER 33PF 50V NP0 0402"
"C7","27pF","TopLayer","CAPC1005X04L","58.2500","76.6250","270","CAP CER 27PF 50V C0G/NP0 0402"
"C8","47pF","TopLayer","CAPC1005X04L","54.7000","36.4500","90","CAP CER 47PF 50V C0G/NP0 0402"
"C9","47pF","TopLayer","CAPC1005X04L","64.0250","35.7250","90","CAP CER 47PF 50V C0G/NP0 0402"
"C10","47pF","TopLayer","CAPC1005X04L","63.0750","37.7000","90","CAP CER 47PF 50V C0G/NP0 0402"
"C11","47pF","TopLayer","CAPC1005X04L","63.0750","39.9750","270","CAP CER 47PF 50V C0G/NP0 0402"
"C12","100nF","TopLayer","CAPC1005X04L","63.9750","39.9750","270","CAP CER 100nF 16V X7R 0402"
"D1","PESD0402-140","TopLayer","RESC1005X04L","59.2750","76.6250","270","TVS DIODE 14VWM 40VC 0402"
"D2","B72590T8140S160","TopLayer","RESC1005X04L","50.8750","34.5250","360","VARISTOR 28V 2A 0402"
"J1","U.FL-R-SMT-1(10)","TopLayer","COAXIAL-UFL","61.2500","79.1875","0","CONN UMC JACK STR 50 OHM SMD"
"L2","39nH","TopLayer","INDC1005X04L","61.7250","74.1000","180","FIXED IND 39NH 250MA 1.06 OHM"
"L3","82nH","TopLayer","INDC1005X04L","60.7750","77.1250","360","FIXED IND 82NH 150MA 1.2 OHM SMD"
"R3","0.0","TopLayer","RESC1005X04L","61.2560","72.6490","90","RES SMD 0.0OHM JUMPER 1/16W 0402"
"R4","10k","TopLayer","RESC1005X04L","54.6500","72.7000","90","RES SMD 10K OHM 1% 1/10W 0402"
"SW1","RS-014R05B1-SMA10 RT","TopLayer","RS-014R05B1-SMA10","52.6250","27.1000","90","SWITCH TACTILE SPST-NO 0.05A 12V"
"U1","SARA-N210-02B","TopLayer","UB-SARA-N2","57.9540","58.5520","0","uBlox Sara N210"
"U3","SkySIM Argo 512 M2M SMD","TopLayer","QFN127P500X600X90_HS-9N","58.9250","37.5750","270","SkySIM® Argo 512 M2M SMD - LTE"
"P1","2.54mm","TopLayer","HDR_1x15_2.54mm_THRU","46.6000","44.0500","90","Header, 1x15, Pitch 2.54mm, Male"
"*","TELENOR_LOGO","TopLayer","TELENOR_4mmx3.8mm","10.7750","-25.1750","360",""
"Fid1","Fiducial mark","TopLayer","Fiducial","46.9250","21.7250","90","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial","68.1250","21.7750","90","Fiducial Mark"
"Fid3","Fiducial mark","TopLayer","Fiducial","68.1250","80.2750","90","Fiducial Mark"
"LOGO1","EE LOGO","BottomLayer","EE_LOGO","10.7750","-25.1750","180","Exploratory Engineering Logo Silkscreen"
"U2","TPS63031DSKR","TopLayer","SON50P250X80_HS-11N","87.4500","27.2500","0","IC REG BUCK BST 3.3V 0.9A 10SON"
"L1","1.5µF","TopLayer","INDP3030X11L","83.7000","27.2500","90","FIXED IND 1.5UH 2.04A 88.8 MOHM"
"C5","10µF","TopLayer","CAPC1005X04L","86.8750","24.8250","180","CAP CER 10UF 6.3V X5R 0402"
"C3","100nF","TopLayer","CAPC1005X04L","90.5750","26.7000","180","CAP CER 100nF 16V X7R 0402"
"C2","10µF","TopLayer","CAPC1005X04L","86.8250","30.7500","180","CAP CER 10UF 6.3V X5R 0402"
"C1","10µF","TopLayer","CAPC1005X04L","86.8250","29.7500","180","CAP CER 10UF 6.3V X5R 0402"
"C6","33pF","TopLayer","CAPC1005X04L","86.3500","75.5500","90","CAP CER 33PF 50V NP0 0402"
"C7","27pF","TopLayer","CAPC1005X04L","83.3500","76.6250","270","CAP CER 27PF 50V C0G/NP0 0402"
"C8","47pF","TopLayer","CAPC1005X04L","79.8000","36.4500","90","CAP CER 47PF 50V C0G/NP0 0402"
"C9","47pF","TopLayer","CAPC1005X04L","89.1250","35.7250","90","CAP CER 47PF 50V C0G/NP0 0402"
"C10","47pF","TopLayer","CAPC1005X04L","88.1750","37.7000","90","CAP CER 47PF 50V C0G/NP0 0402"
"C11","47pF","TopLayer","CAPC1005X04L","88.1750","39.9750","270","CAP CER 47PF 50V C0G/NP0 0402"
"C12","100nF","TopLayer","CAPC1005X04L","89.0750","39.9750","270","CAP CER 100nF 16V X7R 0402"
